"mGeneSym"	"BC_E_1"	"BC_E_2"	"BC_EP_1"	"BC_EP_2"	"LP_E_1"	"LP_E_2"	"LP_EP_1"	"LP_EP_2"	"LM_E_1"	"LM_E_2"	"LM_EP_1"	"LM_EP_2"
"Basp1"	424875.4883	734810.7902	0	0	1113375068	803717483.1	102277219.6	182317090.4	447712723.6	442946174	38271208.49	63398414.26
"Bbx"	0	0	2859456.066	790962.9975	0	0	558890.9675	669281.1531	0	0	0	0
"Bcas3"	1615147.016	1687758.073	2563280.9924	752437.4945	0	0	0	0	439546.407	530231.8216	896919.5292	2904695.693
"Bcl2l14"	103036181.9	0	0	0	7978269.943	5645184.435	5330085.385	4485771.864	15423168.67	17834075.89	10167227.73	10171701.49
"Bdh1"	0	0	0	0	64041782.1	138298853	174554521.4	217875351.7	51192131.88	81237185.22	88008550.31	104477591.5
"Bet1l"	6646963.779	0	12626022.4155	10932789.675	0	4249403.057	0	0	13385809.19	14462525.32	28424613.28	16376259.68
"Cab39l"	1625737.786	1510643.901	1817540.682	1359389.6585	50325268.67	45256741.37	16851703.79	9025750.277	61716503.45	57603969.41	55788093.41	49762763.19
"Camk2d"	14042050.82	21360821.25	10847746.87	9066257.2715	1550104.901	7846779.146	5292510.488	3624330.041	3817169.71	10603269.03	0	0
"Capn5"	0	0	0	0	4847741.162	371006.2027	4474787.73	858602.9227	54175691.93	55315854.79	5252936.657	7224923.225
"Casp1"	4908112.202	11288928.66	14145404.64	11483179.765	7778654.302	7964772.755	7693478.904	6932472.361	4064293.868	0	0	0
"Cat"	164720000	173350000	174835000	193655000	229990000	220530000	194140000	213590000	61917000	54305000	35256000	28531000
"Cav2"	303922343.9	300156787.3	160920528.7	142053831.55	2397506.251	0	0	0	5826629.673	3185174.067	3874446.078	162504.6125
"Cbl"	4437641.811	6244522.278	3226349.4525	3030108.0415	0	0	0	0	7398335.351	6200699.477	1374625.958	5182695.566
"Cbr2"	416752258.5	328981966.7	396107357.3	385138420.5	1718271662	814237559.2	241784337	364665038.4	0	954535.7868	25334554.22	34353953.33
"Cbr3"	242692407.7	311696597.3	285555120	306636048.9	19134854.02	11313913.15	2991816.796	1682563.027	0	2267649.218	16974855.47	31025286.98
"Cbwd1"	336873.8324	0	1100842.65485	841362.2727	0	0	0	0	1402521.441	1197294.721	1744974.531	1984719.806
"Ccdc134"	0	0	1603358.4985	5922504.985	11871951.92	0	0	0	0	0	20998318.71	1649057.651
"Cdc42bpg"	2118481.549	420825.7074	234793.57675	40726880.475	0	0	0	0	718437.2891	3473923.194	2000432.515	771064.4934
"Cdh2"	8535068.785	10167083.85	10531435.125	10301933.8555	0	850180.0185	0	0	0	0	3690221.571	6340839.826
"Cdk19"	0	0	290110.39045	236728.85535	1735761.57	1676815.753	1478545.946	1660962.694	25454582.64	24847922.08	2292571.644	3368702.198
"Cdk6"	0	0	7165314.01	4870896.6615	29266760.16	42681840.47	42510633.43	44936919.86	0	692177.4644	0	0
"Celf2"	26677822.07	19484993.49	72372804.44	35854659.675	46292938.57	9230448.147	23113436.62	15865958.36	0	0	0	0
"Cenpv"	860625.6228	0	2832521.7225	3281504.3305	120969903	136788208.2	63635825.51	81811772.84	87387034.28	81351135.15	209180787	160922148.2
"Chmp2b"	14232029.58	1880818.607	4467509.814	7919693.868	29911744.66	9036650.108	1575145.681	8867862.134	1399244.986	1114111.271	0	0
"Ckb"	2514816550	2973813900	1436684120	1284488662.5	0	3029863.575	3068241.587	3051612.659	280439.7519	2082913.589	375670.6149	370621.1393
"Cldn3"	0	0	0	0	232523974	218880186.3	169447035.4	183458822.3	75472651.37	74500465.27	76575168.01	83281554.73
"Cldn7"	0	0	0	0	53190035.59	202753032.1	300141677	150472029.1	177156945.1	160979347.3	175807494.1	249575096.1
"Clic6"	0	825205.9684	0	0	617843363.5	783698036.9	9023975.256	13605123.58	1512183.407	1114430.331	2074286.073	57383.0529
"Clmn"	2581964.215	1824458.564	921580.7605	1331317.1191	13389784.05	13665211.41	19377696.87	20900892.96	0	23273134.03	0	0
"Cltb"	52912360.37	46357656.46	24753528.615	48001763.045	222792711.5	79536130.37	2426168.347	2774922.688	102056618.2	22999198.39	93638451.25	46584855.28
"Cog6"	1043725.842	0	2549626.916	1364135.306	0	1752211.9	0	0	4201160.342	2567747.758	6742944.47	3862011.749
"Coq7"	388637.5856	447155.4637	3195921.0695	5291408.588	10029508.97	737276.3298	4941811.449	5405843.161	0	0	400004.6254	146480.2889
"Coro2a"	0	0	4551014.168	3111700.2115	26691530.08	25957233.06	35327903.13	29946289.25	11902468.52	7936840.634	23037069.92	24549663.12
"Crabp2"	0	0	0	0	225539780.5	123197848.6	88199758.15	133706056.9	23314461.61	18615772.42	7733007.91	30117241.97
"Crbn"	0	4126821.074	1683743.235	2048751.9275	0	4708312.457	0	0	8225888.53	6650573.807	2778760.588	3133479.105
"Cryab"	36987991.25	16019398.66	18284710.5	12922618.71	0	0	5543609.799	4273882.89	2899017.577	0	0	0
"Cttnbp2nl"	5422583.421	3067666.152	5517912.708	4245762.458	1717000.525	0	803997.7954	1600070.329	139095.4561	163850.8856	177526.9228	108321.4324
"Cux1"	965583.429	571561.432	2875816.6025	4043225.4135	2149446.154	1026353.867	292814.1971	332449.6857	2235684.309	1425057.844	4934432.954	3380633.08
"Dhx32"	0	0	0	0	358531.3472	0	1353446.289	683218.5103	1957682.041	942365.9342	15372839.16	357362.3844
"Dmd"	3420927.892	3777218.392	3074846.343	3159262.5145	0	1339424.8	3068541.586	2091015.024	230861.0261	0	0	0
"Dnmt3a"	4614191.039	5350430.46	17563781.02	16512434.845	1489678.798	1751803.617	13041714.24	13906499.65	6794176.851	5807800.113	1395864.996	2857920.643
"Dock9"	7490840.7	5142153.932	4657305.3725	4489614.8475	5253328.13	9357696.157	6625631.832	6826425.015	25980.80122	0	0	0
"Ehbp1l1"	2827080.49	2763467.996	1952797.9865	983166.60495	0	0	0	0	1274888.614	601746.7987	79149.39846	108356.3764
